PU_zone_name,trip_count,total_revenue,total_time_min,total_miles,avg_min_ptrip,avg_dist_ptrip,avg_rev_ptrip,avg_dist_pmin,avg_rev_pmin
Ocean Parkway South,138,2111.91,1059.1333333333332,260.07,7.67487922705314,1.8845652173913043,15.303695652173912,0.24554982060804434,1.993998237552716
Old Astoria,5320,73284.17000000022,73320.50000000001,14612.880000000001,13.782048872180454,2.746781954887218,13.77521992481207,0.19930142320360605,0.9995045041973282
Ozone Park,64,2096.94,1366.3666666666666,403.47999999999996,21.349479166666665,6.304374999999999,32.7646875,0.29529408894635406,1.5346832231465446
Park Slope,8827,138488.62999999872,140219.96666666662,26471.27,15.88534798534798,2.9988977002379067,15.689206978588278,0.1887838845585235,0.9876527094690897
Parkchester,150,2518.3900000000003,3668.2,548.23,24.454666666666665,3.654866666666667,16.78926666666667,0.14945477345837196,0.686546535085328
Pelham Bay,17,373.09000000000003,275.30000000000007,70.0,16.194117647058828,4.117647058823529,21.946470588235297,0.2542680711950599,1.3552124954594984
Pelham Bay Park,2,44.599999999999994,25.35,14.79,12.675,7.395,22.299999999999997,0.5834319526627219,1.7593688362919129
Pelham Parkway,74,1170.73,1022.85,262.72999999999996,13.822297297297297,3.550405405405405,15.820675675675677,0.2568607322676834,1.144576428606345
Penn Station/Madison Sq West,292504,4097652.3399988245,4736921.36666668,636322.4399999984,16.19438150133564,2.175431583841583,14.008876254679677,0.1343324895527602,0.865045463670489
Port Richmond,2,60.17,2.5333333333333337,19.4,1.2666666666666668,9.7,30.085,7.6578947368421035,23.751315789473683
Prospect Heights,2122,33388.09000000008,33544.450000000004,6310.679999999998,15.807940622054668,2.9739302544769073,15.734255419415682,0.18812888570240374,0.99533872220293
Prospect Park,262,4500.57,6718.766666666666,917.8,25.6441475826972,3.5030534351145035,17.177748091603053,0.13660245183887915,0.669850617424825
Prospect-Lefferts Gardens,927,13872.789999999985,12445.866666666667,2745.42,13.425961884214312,2.961618122977346,14.9652535059331,0.22058889698320192,1.114650379242371
